Nama Pelanggan,Produk,Ulasan,Rating
Nandya,Hana Fashion - Arisha Casual Long Dress Wanita - CD047-2,bagus bgt,5
Mas,HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074,"Tinggi badan 150 - 160 cm, bagus, nyaman, adem juga ga bikin gerah",5
Kartika,Hana Fashion - Yama Set Setelan Wanita - ST121,bagus... nyaman d pakai,5
C***n,HanaFashion - Estrella Crop Top Kaos Pendek Murah Wanita - CT166,"Ukurannya pas Berat badan < 50 kg
selalu puas belanja disini harga murah kualitas ok banget",5
A***i,Hana Fashion - Tania Stripe Mini Dress Wanita - CD206,Sesuai deskripsi dan gambar. Terima kasih,5
A***i,Hana Fashion - Nagita Set Strap Midi Dress With Cardigan - ST155,Sesuai deskripsi dan gambar. Terima kasih,5
p***i,Hana Fashion - Heejin Long Sleeve Crop Top Kaos Crop Serut - CT323,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan < 50 kg,5
Myra,HanaFashion - Cesa Rope Loose Pants - LP118,"Ukurannya pas, bahan halus dan adem",5
Sanur,HanaFashion - Annie Crop Shirt Wanita / Kemeja Crop Wanita - JK055,Ukurannya pas,5
Z***o,Hana Fashion - Haerin Button Crop Top / T-shirt Crop Korean - CT326,Ukurannya pas,5
H***l,HanaFashion - Annie Crop Shirt Wanita / Kemeja Crop Wanita - JK055,kainnya agak beda sama yang pertama kali aku beli. but still good,5
A***a,HanaFashion - Alika Knit Crop Top Atasan Wanita - CT198,Tinggi badan < 150 cm Ukurannya pas,5
M***a,Hana Fashion - Esmee Slit Skirt/ Rok Wanita - SK208,size sesuai,5
H***y,Hana Fashion - Edeline Outer Wanita Cardigan Korean Style JK099,Ukurannya pas,4
E***h,Hana Fashion - Sammy Long Sleeve Sassy - TS121-2,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5
L***a,HanaFashion - Kayla Midi Dress HItam Bodycon Split Wanita - TT034,"bahan stretch hingga 2 cm, menyerap keringat, jahitan rapi namun gampang lepas pada bagian sobekan rok",5
yunita,HanaFashion - Kyara Cardigan Outer Balloon Sleeve Korean Style - JK039,"ukuranya passs,,, cantik sekali",5
Deden,HanaFashion - Hyewon Cardigan Outer Wanita Murah - JK049,Ukurannya pas Tinggi badan 150 - 160 cm,5
M***a,HanaFashion - Pokemon Crop Top Kaos Murah Wanita - CT108,"bahan ok, tebal. sablon ok.",4
C***n,Hana Fashion - Emmanuela Collar V-Neck Dress - CD130,"dres nya bagus bahan kaos tebal dan nyaman di pakai, tidak gerah",5
C***n,HanaFashion - Zerra Collared V-neck Rib Knit Tee / Kaos Wanita - TS520,"harga murah kualitas bagus, saya dah langganan di toko ini",5
Siti,Hana Fashion - Delevine Set Setelan Wanita - ST138,"keren deh 
adem",5
Vetronela,HanaFashion - Jennie One Shoulder Crop Top Murah - CT131,Ukurannya pas,5
Sinung,HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061,bagus,5
M***a,Hana Fashion - Vanessa Crop Top Rib Knit Cardigan Long Sleeve - CT334,"Bagus bahannya, pengiriman cepat.
Sudah punya warna pink dan biru elektrik.",5
